Name,URL,Author,Price,No. of Ratings,Rating,ISBN
ESIC Nursing Staff Exam Books Study Materials,https://www.amazon.in/Nursing-Staff-Books-Study-Materials/dp/9387612937?_encoding=UTF8&psc=1,Not Available,220.00,2,2.0 out of 5 stars,9387612937
Sita: Warrior of Mithila (Ram Chandra),https://www.amazon.in/Sita-Warrior-Mithila-Ram-Chandra/dp/9386224585?_encoding=UTF8&psc=1,Amish Tripathi,164.00,"1,812",4.3 out of 5 stars,9386224585
Essentials of Medical Pharmacology,https://www.amazon.in/Essentials-Medical-Pharmacology-K-Tripathi/dp/9352704991?_encoding=UTF8&psc=1,K. D. Tripathi,"1,100.00",181,4.4 out of 5 stars,9352704991
Bharat Ki Rajvayvastha,https://www.amazon.in/Bharat-Ki-Rajvayvastha-M-Laxmikanth/dp/9352603869?_encoding=UTF8&psc=1,M. Laxmikanth,381.00,673,4.5 out of 5 stars,9352603869
40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Mathematics,https://www.amazon.in/Chapterwise-Topicwise-Solved-2018-1979-Mathematics/dp/9313163314?_encoding=UTF8&psc=1,Amit M. Agarwal,200.00,91,4.2 out of 5 stars,9313163314
The Secret,https://www.amazon.in/Secret-Rhonda-Byrne/dp/1847370292?_encoding=UTF8&psc=1,Rhonda Byrne,415.00,"1,605",4.5 out of 5 stars,1847370292
The Oath of the Vayuputras (Shiva Trilogy),https://www.amazon.in/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341?_encoding=UTF8&psc=1,Amish Tripathi,241.00,"1,606",4.4 out of 5 stars,9382618341
40 Years Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Chemistry,https://www.amazon.in/Chapterwise-Topicwise-Solved-2018-1979-Chemistry/dp/9313163306?_encoding=UTF8&psc=1,Ranjeet Shahi,225.00,91,4.4 out of 5 stars,9313163306
India's Struggle for Independence: 1857-1947,https://www.amazon.in/Indias-Struggle-Independence-Bipan-Chandra/dp/0140107819?_encoding=UTF8&psc=1,Bipan Chandra,200.00,855,4.3 out of 5 stars,0140107819
Oswaal CBSE Question Bank Class 10 Science Chapterwise and Topicwise (For March 2019 Exam),https://www.amazon.in/Oswaal-Question-Science-Chapterwise-Topicwise/dp/9387504913?_encoding=UTF8&psc=1,Not Available,247.00,184,4.6 out of 5 stars,9387504913
The Accidental Prime Minister: The Making and Unmaking of Manmohan Singh (City Plans),https://www.amazon.in/Accidental-Prime-Minister-Unmaking-Manmohan/dp/0143424068?_encoding=UTF8&psc=1,Sanjaya Baru,359.00,332,4.0 out of 5 stars,0143424068
Objective General English,https://www.amazon.in/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1,S.P. Bakshi,154.00,"1,771",4.2 out of 5 stars,9351768449
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover,https://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149?_encoding=UTF8&psc=1,Amish Tripathi,196.00,"4,643",4.1 out of 5 stars,9385152149
10 Last Years Solved Papers: CBSE Class 10 for 2019 Examination,https://www.amazon.in/Last-Years-Solved-Papers-Examination/dp/9387660400?_encoding=UTF8&psc=1,Not Available,357.00,99,4.0 out of 5 stars,9387660400
Bhagavad Gita: Yatharoop,https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X?_encoding=UTF8&psc=1,Not Available,150.00,402,4.8 out of 5 stars,938598618X
One Indian Girl,https://www.amazon.in/One-Indian-Girl-Chetan-Bhagat/dp/8129142147?_encoding=UTF8&psc=1,Chetan Bhagat,96.00,"4,929",3.6 out of 5 stars,8129142147
Word Power Made Easy,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688?_encoding=UTF8&psc=1,Norman Lewis,88.00,"5,643",4.4 out of 5 stars,0143424688
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,https://www.amazon.in/How-Stop-Worrying-Start-Living/dp/8175993952?_encoding=UTF8&psc=1,Dale Carnegie,88.00,627,4.5 out of 5 stars,8175993952
Current Affairs Yearly  2019,https://www.amazon.in/Current-Affairs-Yearly-Arihant-Experts/dp/9313169886?_encoding=UTF8&psc=1,Not Available,124.00,3,5.0 out of 5 stars,9313169886
The 7 Habits of Highly Effective People,https://www.amazon.in/Habits-Highly-Effective-People/dp/1471131823?_encoding=UTF8&psc=1,Not Available,311.00,"1,093",4.0 out of 5 stars,1471131823
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,https://www.amazon.in/Eat-That-Frog-Great-Procrastinating/dp/152309513X?_encoding=UTF8&psc=1,Brian Tracy,127.00,212,4.6 out of 5 stars,152309513X
